src/app/api/invoices/pdf/route.ts(527,34): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(527,36): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(528,8): error TS1435: Unknown keyword or identifier. Did you mean 'let'?
src/app/api/invoices/pdf/route.ts(528,13): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(528,18): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(528,33): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(528,35): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(529,8): error TS1434: Unexpected keyword or identifier.
src/app/api/invoices/pdf/route.ts(529,21): error TS1109: Expression expected.
src/app/api/invoices/pdf/route.ts(543,1): error TS1005: ':' expected.
src/app/api/invoices/pdf/route.ts(543,3): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(543,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(546,8): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(546,10): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(546,12): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(549,3): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(549,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(552,10): error TS1005: ']' expected.
src/app/api/invoices/pdf/route.ts(552,12): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(552,13): error TS1128: Declaration or statement expected.
src/app/api/invoices/pdf/route.ts(553,1): error TS1161: Unterminated regular expression literal.
src/app/api/invoices/pdf/route.ts(556,3): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(556,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(559,9): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(559,11): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(559,13): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(560,14): error TS1005: ']' expected.
src/app/api/invoices/pdf/route.ts(560,16): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(560,20): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(560,23): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(561,1): error TS1161: Unterminated regular expression literal.
src/app/api/invoices/pdf/route.ts(563,1): error TS1161: Unterminated regular expression literal.
src/app/api/invoices/pdf/route.ts(569,1): error TS1109: Expression expected.
src/app/api/invoices/pdf/route.ts(570,1): error TS1109: Expression expected.
src/app/api/invoices/pdf/route.ts(571,1): error TS1109: Expression expected.
src/app/api/invoices/pdf/route.ts(573,3): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(573,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(575,1): error TS1161: Unterminated regular expression literal.
src/app/api/invoices/pdf/route.ts(579,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(579,8): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(580,5): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(580,9): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(581,8): error TS1005: ',' expected.
src/app/api/invoices/pdf/route.ts(581,19): error TS1005: ',' expected.
src/app/api/invoices/pdf/route.ts(581,25): error TS1005: ',' expected.
src/app/api/invoices/pdf/route.ts(581,35): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(586,3): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(587,1): error TS1121: Octal literals are not allowed. Use the syntax '0o0'.
src/app/api/invoices/pdf/route.ts(587,12): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(587,18): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(588,1): error TS1489: Decimals with leading zeros are not allowed.
src/app/api/invoices/pdf/route.ts(588,12): error TS1121: Octal literals are not allowed. Use the syntax '0o0'.
src/app/api/invoices/pdf/route.ts(588,18): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(589,1): error TS1489: Decimals with leading zeros are not allowed.
src/app/api/invoices/pdf/route.ts(589,12): error TS1121: Octal literals are not allowed. Use the syntax '0o0'.
src/app/api/invoices/pdf/route.ts(589,18): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(590,1): error TS1121: Octal literals are not allowed. Use the syntax '0o115'.
src/app/api/invoices/pdf/route.ts(590,12): error TS1121: Octal literals are not allowed. Use the syntax '0o0'.
src/app/api/invoices/pdf/route.ts(590,18): error TS1005: ';' expected.
src/app/api/invoices/pdf/route.ts(591,1): error TS1121: Octal literals are not allowed. Use the syntax '0o261'.
